"","Location","TimeFrame","DataFormat","Child","Unemployment"
"565","Burleson",2008,"Number",847,357
"566","Burleson",2008,"Percent",0.22,0.044
"567","Burleson",2009,"Number",871,569
"568","Burleson",2009,"Percent",0.225,0.068
"569","Burleson",2010,"Number",990,576
"570","Burleson",2010,"Percent",0.249,0.069
"571","Burleson",2011,"Number",1044,549
"572","Burleson",2011,"Percent",0.262,0.068
"573","Burnet",2001,"Number",1779,544
"574","Burnet",2001,"Percent",0.199,0.037
"575","Burnet",2002,"Number",1718,791
"576","Burnet",2002,"Percent",0.189,0.047
"577","Burnet",2003,"Number",1739,877
"578","Burnet",2003,"Percent",0.192,0.05
"579","Burnet",2004,"Number",1727,931
"580","Burnet",2004,"Percent",0.188,0.046
"581","Burnet",2005,"Number",1801,778
"582","Burnet",2005,"Percent",0.2,0.038
"583","Burnet",2006,"Number",1941,890
"584","Burnet",2006,"Percent",0.213,0.041
"585","Burnet",2007,"Number",1691,774
"586","Burnet",2007,"Percent",0.178,0.035
"587","Burnet",2008,"Number",1867,874
"588","Burnet",2008,"Percent",0.196,0.04
"589","Burnet",2009,"Number",2114,1352
"590","Burnet",2009,"Percent",0.221,0.061
"591","Burnet",2010,"Number",2397,1453
"592","Burnet",2010,"Percent",0.244,0.065
"593","Burnet",2011,"Number",2604,1424
"594","Burnet",2011,"Percent",0.267,0.062
"595","Caldwell",2001,"Number",1850,716
"596","Caldwell",2001,"Percent",0.191,0.042
"597","Caldwell",2002,"Number",1966,1069
"598","Caldwell",2002,"Percent",0.201,0.066
"599","Caldwell",2003,"Number",2066,1205
"600","Caldwell",2003,"Percent",0.209,0.075
"601","Caldwell",2004,"Number",1977,1016
"602","Caldwell",2004,"Percent",0.205,0.063
"603","Caldwell",2005,"Number",2502,816
"604","Caldwell",2005,"Percent",0.264,0.049
"605","Caldwell",2006,"Number",2010,808
"606","Caldwell",2006,"Percent",0.212,0.049
"607","Caldwell",2007,"Number",2476,707
"608","Caldwell",2007,"Percent",0.26,0.043
"609","Caldwell",2008,"Number",1903,826
"610","Caldwell",2008,"Percent",0.201,0.052
"611","Caldwell",2009,"Number",2358,1314
"612","Caldwell",2009,"Percent",0.244,0.083
"613","Caldwell",2010,"Number",2498,1391
"614","Caldwell",2010,"Percent",0.257,0.086
"615","Caldwell",2011,"Number",2626,1425
"616","Caldwell",2011,"Percent",0.268,0.085
"617","Calhoun",2001,"Number",1315,762
"618","Calhoun",2001,"Percent",0.229,0.079
"619","Calhoun",2002,"Number",1256,817
"620","Calhoun",2002,"Percent",0.216,0.097
"621","Calhoun",2003,"Number",1338,724
"622","Calhoun",2003,"Percent",0.231,0.084
"623","Calhoun",2004,"Number",1346,700
"624","Calhoun",2004,"Percent",0.238,0.075
"625","Calhoun",2005,"Number",1423,563
"626","Calhoun",2005,"Percent",0.255,0.06
"627","Calhoun",2006,"Number",1477,473
"628","Calhoun",2006,"Percent",0.263,0.049
"629","Calhoun",2007,"Number",1251,421
