"","Location","TimeFrame","DataFormat","Child","Unemployment"
"582","Brown",2002,"Percent",0.251,0.049
"583","Brown",2003,"Number",2490,784
"584","Brown",2003,"Percent",0.271,0.045
"585","Brown",2004,"Number",2382,1013
"586","Brown",2004,"Percent",0.263,0.055
"587","Brown",2005,"Number",2600,851
"588","Brown",2005,"Percent",0.292,0.046
"589","Brown",2006,"Number",2422,877
"590","Brown",2006,"Percent",0.274,0.045
"591","Brown",2007,"Number",2348,786
"592","Brown",2007,"Percent",0.268,0.042
"593","Brown",2008,"Number",2276,841
"594","Brown",2008,"Percent",0.261,0.045
"595","Brown",2009,"Number",2356,1333
"596","Brown",2009,"Percent",0.27,0.069
"597","Brown",2010,"Number",2503,1377
"598","Brown",2010,"Percent",0.285,0.073
"599","Brown",2011,"Number",2692,1353
"600","Brown",2011,"Percent",0.307,0.072
"601","Burleson",2000,"Number",992,257
"602","Burleson",2000,"Percent",0.219,0.037
"603","Burleson",2001,"Number",926,207
"604","Burleson",2001,"Percent",0.21,0.029
"605","Burleson",2002,"Number",897,338
"606","Burleson",2002,"Percent",0.204,0.044
"607","Burleson",2003,"Number",958,434
"608","Burleson",2003,"Percent",0.222,0.054
"609","Burleson",2004,"Number",927,456
"610","Burleson",2004,"Percent",0.215,0.055
"611","Burleson",2005,"Number",1103,347
"612","Burleson",2005,"Percent",0.259,0.04
"613","Burleson",2006,"Number",997,358
"614","Burleson",2006,"Percent",0.248,0.041
"615","Burleson",2007,"Number",898,311
"616","Burleson",2007,"Percent",0.229,0.038
"617","Burleson",2008,"Number",847,357
"618","Burleson",2008,"Percent",0.22,0.044
"619","Burleson",2009,"Number",871,569
"620","Burleson",2009,"Percent",0.225,0.068
"621","Burleson",2010,"Number",990,576
"622","Burleson",2010,"Percent",0.249,0.069
"623","Burleson",2011,"Number",1044,549
"624","Burleson",2011,"Percent",0.262,0.068
"625","Burnet",2000,"Number",1672,372
"626","Burnet",2000,"Percent",0.193,0.026
"627","Burnet",2001,"Number",1779,544
"628","Burnet",2001,"Percent",0.199,0.037
"629","Burnet",2002,"Number",1718,791
"630","Burnet",2002,"Percent",0.189,0.047
"631","Burnet",2003,"Number",1739,877
